teacher_name,teacher_category,student_type,mismatch_level,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_ece,teacher_params,student_accuracy,student_auc,student_ece,student_ts_ece,student_optimal_temp,student_params,compression_ratio,training_time,seed
StandardMLP,MLP,MLP,0,2.783,1.0,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8121609171870202,0.842049823877247,0.032712593670083674,0.011548760344112938,0.8398551940917969,36078,7.463329452852154,10.993739366531372,42
StandardMLP,MLP,MLP,0,3.594,0.1,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8599651960282526,0.9120448186043277,0.012940793272349232,0.005700152382988295,0.9324536323547363,36078,7.463329452852154,14.049386978149414,42
StandardMLP,MLP,MLP,0,3.594,0.2,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8621148531067663,0.912466433417265,0.030505774163067406,0.013052858783688929,0.8517534732818604,36078,7.463329452852154,17.742581367492676,42
StandardMLP,MLP,MLP,0,3.594,0.3,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8569966219674481,0.9094387210353501,0.037316818524726715,0.01972811849789166,0.8348280191421509,36078,7.463329452852154,19.726349353790283,42
StandardMLP,MLP,MLP,0,3.594,0.4,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8611935715016891,0.9067065419308451,0.04318885146169766,0.015487440810948291,0.8102532029151917,36078,7.463329452852154,19.214927434921265,42
StandardMLP,MLP,MLP,0,3.594,0.5,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8601699252738254,0.9074682113942711,0.06012224054791712,0.02730349573255354,0.7750181555747986,36078,7.463329452852154,21.05816674232483,42
StandardMLP,MLP,MLP,0,3.594,0.6,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8568942573446617,0.9048225712482986,0.07408358346434821,0.037555679381473334,0.7731682062149048,36078,7.463329452852154,16.103058099746704,42
StandardMLP,MLP,MLP,0,3.594,0.7,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8443034087419388,0.901773993969498,0.0791155257552011,0.05207821775305197,0.783857524394989,36078,7.463329452852154,21.15042543411255,42
StandardMLP,MLP,MLP,0,3.594,0.8,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8145153035111066,0.8976976550388467,0.0865291236934209,0.05480980691705454,0.8020544648170471,36078,7.463329452852154,17.694210529327393,42
StandardMLP,MLP,MLP,0,3.594,0.9,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8144129388883202,0.8921597660552935,0.0871552956787331,0.0587341845880598,0.8005143404006958,36078,7.463329452852154,13.89027714729309,42
