teacher_name,teacher_category,student_type,mismatch_level,seed,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_f1,teacher_recall,student_accuracy,student_auc,student_f1,student_recall,student_precision,student_ece,student_nll,student_brier,student_ts_ece,student_ts_f1,student_ts_recall,student_ts_auc,student_optimal_temp,student_params,teacher_params
FTTransformer,Attention,StudentHybrid,heterogeneous,42,2.154,0.1,0.8489098167673252,0.9010604432751659,0.6495726495726496,0.5851154833190761,0.8595557375371071,0.9124576269918206,0.6748815165876777,0.6090675791274593,0.7566418703506907,0.005838363392020959,0.30823383541169375,0.0980875935187645,0.005838478592495457,0.6748815165876777,0.6090675791274593,0.9124576269918206,0.9999977350234985,14743,54882
TabTransformer,Attention,StudentMLP,heterogeneous,42,2.154,0.1,0.8480908997850343,0.8971777305876165,0.6391050583657587,0.5620188195038495,0.8584297266864571,0.9134440041999167,0.679341525620218,0.6266039349871685,0.7417721518987341,0.012556368763279138,0.3060665649020065,0.09727852879401211,0.010395823759857661,0.679341525620218,0.6266039349871685,0.9134440041999167,0.9665341377258301,36078,154882
TabTransformer,Attention,StudentAttention,homomorphic,42,7.743,0.1,0.8480908997850343,0.8971777305876165,0.6391050583657587,0.5620188195038495,0.8603746545193981,0.9142563825575677,0.6852791878172588,0.635158254918734,0.7439879759519038,0.009307859352794498,0.30355165361152014,0.09654387093555347,0.009390567939117214,0.6852791878172588,0.635158254918734,0.9142563825575677,1.011008858680725,8594,154882
TabTransformer,Attention,StudentHybrid,heterogeneous,42,4.642,0.2,0.8480908997850343,0.8971777305876165,0.6391050583657587,0.5620188195038495,0.860067560651039,0.9119309106569145,0.6746012854082362,0.6060735671514115,0.760601180891036,0.0038732291160275063,0.3077269223136468,0.09763164714094567,0.004469060021665103,0.6746012854082362,0.6060735671514115,0.9119309106569142,0.9899408221244812,14743,154882
DeepFM,Hybrid,StudentMLP,heterogeneous,42,1.292,0.1,0.8355000511823114,0.8862482083528888,0.6584484590860786,0.6625320786997434,0.8599651960282526,0.913687993987226,0.6875285518501599,0.6437125748502994,0.7377450980392157,0.01368194824845981,0.30678606787985907,0.09773494039165585,0.013219832567112373,0.6875285518501599,0.6437125748502994,0.9136879939872259,1.054694652557373,36078,204343
DeepFM,Hybrid,StudentAttention,heterogeneous,42,1.292,0.1,0.8355000511823114,0.8862482083528888,0.6584484590860786,0.6625320786997434,0.8647763332992118,0.9174985860794704,0.6896875734085036,0.6278870829769033,0.7649817613340282,0.011386527807322803,0.2994952448457648,0.09449970814027708,0.008929360424932897,0.6896875734085036,0.6278870829769033,0.9174985573003022,1.0703036785125732,8594,204343
DeepFM,Hybrid,StudentHybrid,homomorphic,42,1.292,0.1,0.8355000511823114,0.8862482083528888,0.6584484590860786,0.6625320786997434,0.8583273620636708,0.9120646186719933,0.6761815629386991,0.6180496150556031,0.7463842975206612,0.006718991538617455,0.30874278119941345,0.09843539308178803,0.004421878455452523,0.6761815629386991,0.6180496150556031,0.9120646186719933,1.0361862182617188,14743,204343
WideAndDeep,Hybrid,StudentMLP,heterogeneous,42,1.292,0.2,0.8403111884532706,0.8851777959738866,0.6465790666062529,0.6103507271171942,0.8618077592384072,0.9126125164746347,0.6746987951807228,0.5988023952095808,0.7726269315673289,0.0107842161080765,0.307050404389471,0.09742973229215016,0.007572939170587208,0.6746987951807228,0.5988023952095808,0.9126125164746347,0.9505012631416321,36078,202807
WideAndDeep,Hybrid,StudentAttention,heterogeneous,42,2.783,0.1,0.8403111884532706,0.8851777959738866,0.6465790666062529,0.6103507271171942,0.8656976149042891,0.9170900945671954,0.6830917874396135,0.6047904191616766,0.7846836847946725,0.006895630355485445,0.2981815435599073,0.09440645057930522,0.0069936311684876,0.6830917874396135,0.6047904191616766,0.9170900945671953,0.9673146605491638,8594,202807
WideAndDeep,Hybrid,StudentHybrid,homomorphic,42,10.0,0.1,0.8403111884532706,0.8851777959738866,0.6465790666062529,0.6103507271171942,0.8602722898966118,0.9131752643280254,0.6864231564438319,0.6390076988879384,0.741439205955335,0.008407902261205096,0.3068865031846575,0.09721570195792428,0.006504243778972238,0.6864231564438319,0.6390076988879384,0.9131752643280254,0.954064130783081,14743,202807
