teacher_name,teacher_category,student_type,mismatch_level,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_ece,teacher_params,student_accuracy,student_auc,student_ece,student_ts_ece,student_optimal_temp,student_params,compression_ratio,training_time
StandardMLP,MLP,MLP,0,4.642,0.6,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8624219469751254,0.9137702448497088,0.024420332040781492,0.01687291014681381,0.8807989954948425,35950,7.482781641168289,10.754382371902466
StandardMLP,MLP,MLP,0,4.642,0.7,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8631384993346299,0.9122238825883615,0.026282047601381437,0.02059861906280854,0.8748258352279663,35950,7.482781641168289,18.116647005081177
StandardMLP,MLP,MLP,0,4.642,0.8,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8609888422561163,0.9122271058551908,0.026744485291155595,0.02040500511641341,0.8692799210548401,35950,7.482781641168289,18.8173725605011
StandardMLP,MLP,MLP,0,4.642,0.9,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8606817483877572,0.9122800595245288,0.029326779662812302,0.015795982730420363,0.8488996028900146,35950,7.482781641168289,8.616012334823608
StandardMLP,MLP,MLP,0,4.642,1.0,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8613983007472618,0.9127888752168654,0.03033672269002444,0.020936159570521716,0.8532363176345825,35950,7.482781641168289,9.379990100860596
StandardMLP,MLP,MLP,0,5.995,0.1,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8612959361244754,0.913383625505204,0.013115533158047346,0.013247803127384928,0.9688543677330017,35950,7.482781641168289,10.720656633377075
StandardMLP,MLP,MLP,0,5.995,0.2,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8602722898966118,0.9128708958460034,0.012839338747630632,0.01131211770497273,0.9655030965805054,35950,7.482781641168289,13.917766094207764
StandardMLP,MLP,MLP,0,5.995,0.3,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8618077592384072,0.9128957610472577,0.020711862094595853,0.015180850826140522,0.9392603039741516,35950,7.482781641168289,16.595346212387085
StandardMLP,MLP,MLP,0,5.995,0.4,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.860067560651039,0.9131328438342186,0.023225518686157097,0.014751682187822293,0.8687616586685181,35950,7.482781641168289,13.926878929138184
StandardMLP,MLP,MLP,0,5.995,0.5,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8624219469751254,0.9121595899267847,0.028583298914446442,0.02127187300200033,0.8917118906974792,35950,7.482781641168289,11.359003067016602
StandardMLP,MLP,MLP,0,5.995,0.6,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8628314054662709,0.9132239586804821,0.022758856302872565,0.02131793945066784,0.897426426410675,35950,7.482781641168289,16.22029995918274
StandardMLP,MLP,MLP,0,5.995,0.7,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8631384993346299,0.9124688508673868,0.022894078757156676,0.016327507182999978,0.8854913711547852,35950,7.482781641168289,12.058740377426147
StandardMLP,MLP,MLP,0,5.995,0.8,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8611935715016891,0.9119476601327594,0.02210543526696724,0.013796499472811977,0.8789399266242981,35950,7.482781641168289,20.251834392547607
StandardMLP,MLP,MLP,0,5.995,0.9,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8621148531067663,0.9131312322008039,0.02868069975360143,0.016223468839792757,0.8508711457252502,35950,7.482781641168289,10.148974657058716
StandardMLP,MLP,MLP,0,5.995,1.0,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8612959361244754,0.911824715526557,0.03018569704635212,0.02382692787176585,0.8683130145072937,35950,7.482781641168289,20.353610277175903
StandardMLP,MLP,MLP,0,7.743,0.1,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8611935715016891,0.9139676123846661,0.00646092996271231,0.00597758335831197,0.9802097678184509,35950,7.482781641168289,16.189451694488525
