teacher_name,teacher_category,seed,distill_temperature,alpha,student_accuracy,student_auc,student_f1,student_recall,student_precision,student_ece,student_nll,student_brier,student_ts_ece,student_ts_f1,student_ts_recall,student_ts_auc,student_optimal_temp
RegularizedMLP,MLP,123,1.668,0.1,0.8578155389497389,0.9120132766360698,0.6741731175228712,0.6146278870829769,0.7464935064935065,0.009925537295650953,0.30902233700333964,0.09781874198328676,0.0082312975757984,0.6741731175228712,0.6146278870829769,0.9120132766360698,0.9776141047477722
DeepMLP,MLP,123,1.0,0.2,0.8590439144231754,0.9111265329080002,0.6774420238931834,0.6184773310521814,0.7488348006214397,0.008235529170381414,0.31074563451000625,0.0981987842860449,0.0073954546819330926,0.6774420238931834,0.6184773310521814,0.9111265329080003,0.9689724445343018
AutoInt,Attention,123,4.642,0.1,0.8627290408434845,0.9170236434680096,0.6821521687603698,0.6154833190761334,0.7650186071238703,0.011897396014835346,0.2992958979365683,0.09506428211625328,0.009039118173654687,0.6821521687603698,0.6154833190761334,0.9170236434680095,1.0264841318130493
FTTransformer,Attention,123,4.642,0.6,0.8583273620636708,0.9091617215422089,0.6782891678289168,0.6240376390076989,0.7428716904276986,0.008411869123175382,0.31518964790511866,0.0999781324134339,0.0072427279168025055,0.6782891678289168,0.6240376390076989,0.9091617215422089,0.9869378805160522
TabTransformer,Attention,123,1.668,0.2,0.8620124884839799,0.9128931997012952,0.672656629431763,0.5923866552609067,0.7780898876404494,0.046323040845584744,0.3273837384087175,0.09909425017630673,0.024062712211876863,0.672656629431763,0.5923866552609067,0.9128931709221271,0.7846750617027283
DeepFM,Hybrid,123,1.292,0.1,0.8593510082915344,0.9140144073120268,0.6643869076697606,0.58169375534645,0.7744874715261959,0.00968597403311146,0.3056205361461483,0.09747503770548112,0.008303259104590949,0.6643869076697606,0.58169375534645,0.9140144073120268,1.0206736326217651
WideAndDeep,Hybrid,123,1.0,0.2,0.8608864776333299,0.9137172336220344,0.6668301054179946,0.58169375534645,0.781160252728317,0.012441980238092117,0.3055111718146484,0.09747024356846812,0.012574523114211759,0.6668301054179946,0.58169375534645,0.9137172336220344,0.9879762530326843
DCN,Hybrid,123,1.0,0.1,0.8598628314054663,0.9118403138356772,0.6758228747336017,0.6103507271171942,0.7570291777188329,0.009242119841877826,0.3088121652702037,0.09833669308637631,0.008691263311995505,0.6758228747336017,0.6103507271171942,0.9118403138356772,1.019601583480835
StandardMLP,MLP,456,1.292,0.1,0.8605793837649708,0.9139140255736292,0.6705370101596516,0.592814371257485,0.7717149220489977,0.013577415355519235,0.3061711245130159,0.09723643670109126,0.009545053819198058,0.6705370101596516,0.592814371257485,0.9139140255736293,0.9224655628204346
RegularizedMLP,MLP,456,1.668,0.1,0.8610912068789026,0.9145087758619677,0.6668303461821753,0.5808383233532934,0.7827089337175792,0.016060225185464842,0.30596242476501057,0.09695339932892055,0.015308689968602317,0.6668303461821753,0.5808383233532934,0.9145088046411359,0.9486895799636841
DeepMLP,MLP,456,1.0,0.2,0.8580202681953117,0.9135870942238022,0.6740305522914218,0.613344739093242,0.7480438184663537,0.012296964638930454,0.30689453981366904,0.09749153919343301,0.010798110138430043,0.6740305522914218,0.613344739093242,0.9135870942238022,0.9544740915298462
AutoInt,Attention,456,4.642,0.1,0.8610912068789026,0.9140310416711993,0.6745022787239147,0.6013686911890505,0.7678864008738394,0.010058605167715425,0.30446989366016897,0.09686174903238198,0.007635845224711384,0.6745022787239147,0.6013686911890505,0.9140310416711992,0.9660859107971191
FTTransformer,Attention,456,4.642,0.6,0.8593510082915344,0.9099834531294984,0.6837016574585635,0.635158254918734,0.7402791625124626,0.009321587017418628,0.31381760386082036,0.09963448560280586,0.006766445289548702,0.6837016574585635,0.635158254918734,0.9099834531294986,0.9732946753501892
TabTransformer,Attention,456,1.668,0.2,0.8603746545193981,0.9137118519175963,0.6686103012633625,0.5885372112917023,0.7739032620922385,0.006449480348379438,0.30520645064117347,0.09698832167743748,0.006449339423419775,0.6686103012633625,0.5885372112917023,0.9137118806967645,0.999995231628418
